"연도","연령","진료형태","질병분류_22","진료실인원수","입내원일수","요양급여일수","진료비","급여비","본인부담금","본인부담률"
2008,"0세","외래",1,197571,440005,455354,8529664.95,6242743.226,2286921.724,0.268113898659056
2008,"0세","입원",1,15778,93219,154124,9428360.61,8618636.9,809723.71,0.0858817077001895
2008,"0세","외래",2,3621,9202,12234,643665.64,519735.482,123930.158,0.192538097885728
2008,"0세","입원",2,454,8717,13730,2227314.51,2033177.01,194137.5,0.0871621403840269
2008,"0세","외래",3,7020,12877,13870,364165.46,248935.829,115229.631,0.316421087820904
2008,"0세","입원",3,376,3321,4938,629103.52,587394.82,41708.7,0.0662986276090142
2008,"0세","외래",4,6948,18651,28136,852195.74,555434.475,296761.265,0.348231340607265
2008,"0세","입원",4,487,3985,6028,527226.13,497758.68,29467.45,0.0558914824650288
2008,"0세","외래",5,1887,7199,42069,314130.33,207396.088,106734.242,0.339776939081304
2008,"0세","입원",5,58,2908,3173,214243.41,163688.13,50555.28,0.235971225439326
2008,"0세","외래",6,4000,15807,20085,670101.73,428811.107,241290.623,0.360080585077731
2008,"0세","입원",6,2267,25201,38331,3897304.92,3575305.88,321999.04,0.08262095130088
2008,"0세","외래",7,93130,154148,155004,2997707.32,2146114.251,851593.069,0.284081458959776
2008,"0세","입원",7,214,1409,2669,291934.08,266134.05,25800.03,0.0883762183572401
2008,"0세","외래",8,100321,445686,447991,8217544.03,6226958.321,1990585.709,0.242236086808044
2008,"0세","입원",8,1109,6660,10883,547176.43,480223.91,66952.5200000001,0.122360021976824
2008,"0세","외래",9,3904,15122,37386,884639.63,596107.204,288532.426,0.326158150974991
2008,"0세","입원",9,573,12268,16503,2368581.07,2140358.33,228222.74,0.0963542024761686
2008,"0세","외래",10,776667,2905150,2939552,50864176.02,38484316.802,12379859.218,0.243390539013788
2008,"0세","입원",10,29773,204895,342590,19732879.18,17566420.76,2166458.42,0.109789271004902
2008,"0세","외래",11,143642,269695,277315,5267694.96,3832320.338,1435374.622,0.272486283450247
2008,"0세","입원",11,3546,17670,28870,3078893.24,2814420.46,264472.78,0.0858986523352138
2008,"0세","외래",12,225547,442969,448164,8089260.94,6092575.164,1996685.776,0.246831668654269
2008,"0세","입원",12,591,3897,6295,405031.42,373351.8,31679.62,0.078215215994848
2008,"0세","외래",13,12172,60133,66634,1372870.64,895043.619,477827.021,0.348049559133991
2008,"0세","입원",13,692,6484,14621,979235.78,838927.02,140308.76,0.143283939236779
2008,"0세","외래",14,23183,51941,58405,1660132.34,1093487.318,566645.022,0.341325211458744
2008,"0세","입원",14,6186,44074,83864,5024476.9,4525463.86,499013.04,0.0993164164014765
2008,"0세","외래",15,0,0,0,0,0,0,0
2008,"0세","입원",15,0,0,0,0,0,0,0
2008,"0세","외래",16,175609,321510,323286,5619874.74,4122074.405,1497800.335,0.266518455356178
2008,"0세","입원",16,60696,601138,707259,94424206.3,93822382.42,601823.879999999,0.00637361862579933
2008,"0세","외래",17,20996,51355,53287,1614292.11,1008482.65,605809.46,0.375278709625856
2008,"0세","입원",17,4372,68160,94288,22120786.97,21178139.43,942647.54,0.042613652998802
2008,"0세","외래",18,92195,138596,152249,3185821.9,2115606.122,1070215.778,0.335930824632727
2008,"0세","입원",18,3405,16936,27241,1941418.32,1780647.06,160771.26,0.0828112408046093
2008,"0세","외래",19,35998,68640,73128,2409734.47,1634773.033,774961.437,0.32159619520237
2008,"0세","입원",19,939,8523,12657,1214800.17,1041666.15,173134.02,0.142520576038444
2008,"0세","외래",21,14537,19854,21015,363549.89,263029.81,100520.08,0.276495971433247
2008,"0세","입원",21,300846,1162085,1166517,32629610.14,31642540.22,987069.919999998,0.0302507420641832
2008,"10~14세","외래",1,12011207.738,792741,934780,13275895.91,18949018.908,-5673122.998,-0.427325058621976
2008,"10~14세","입원",1,6124948.44,28036,75327,2307672.09,6179788.57,-3872116.48,-1.6779318416942
2008,"10~14세","외래",2,28652,93076,121417,6949423.58,5613656.478,1335767.102,0.192212647081155
2008,"10~14세","입원",2,3073,58187,102628,17622564.76,15621075.73,2001489.03,0.113575353942975
2008,"10~14세","외래",3,17457,37676,51496,12084857.47,9708719.644,2376137.826,0.19662108815918
2008,"10~14세","입원",3,586,6706,12097,2009697.65,1641224.88,368472.77,0.183347365709464
2008,"10~14세","외래",4,28043,83002,196690,10773501.39,6787941.229,3985560.161,0.369941026294331
2008,"10~14세","입원",4,1053,7217,12643,951667.85,733219.35,218448.5,0.229542796890743
2008,"10~14세","외래",5,68526,437816,3296002,24608758.66,16446852.509,8161906.151,0.331666715244222
2008,"10~14세","입원",5,935,33406,41319,2424037.72,1825278.01,598759.71,0.247009237958558
2008,"10~14세","외래",6,53186,204012,424811,13309429.37,8285314.688,5024114.682,0.377485355857897
2008,"10~14세","입원",6,7824,50212,89810,7799836.69,5920737.01,1879099.68,0.240915259470644
2008,"10~14세","외래",7,1234915,1968348,1975939,47376721.41,32270465.316,15106256.094,0.318853978165139
2008,"10~14세","입원",7,2140,6548,18840,1657506.2,1304283.72,353222.48,0.213104771493464
2008,"10~14세","외래",8,323405,839473,845032,18036713.91,12073374.257,5963339.653,0.330622289778283
2008,"10~14세","입원",8,1256,6247,16030,2145918.9,1688749.41,457169.49,0.21304136423795
2008,"10~14세","외래",9,17174,34118,40472,1807081.24,1105211.062,701870.178,0.388399902817872
2008,"10~14세","입원",9,2881,17543,33654,4170345.27,3424838.81,745506.46,0.178763726198622
2008,"10~14세","외래",10,4511437,10815390,10995915,227708300.92,154813708.098,72894592.822,0.320122685591554
2008,"10~14세","입원",10,24573,125100,231240,15266924.46,11827367.5,3439556.96,0.225294686497715
2008,"10~14세","외래",11,2150449,3991587,4019069,80797562.3,55379335.199,25418227.101,0.314591509662415
2008,"10~14세","입원",11,18888,107334,175073,20562644.13,15987355.96,4575288.17,0.222504855945294
2008,"10~14세","외래",12,809995,1761877,1787293,40149817.36,27240860.915,12908956.445,0.321519680382427
2008,"10~14세","입원",12,1970,14577,23860,1582898.06,1204767.3,378130.76,0.238885099145298
2008,"10~14세","외래",13,318610,714800,722461,16906185.3,11096146.482,5810038.818,0.343663500363976
2008,"10~14세","입원",13,3918,40630,67242,6287966.76,4884825.84,1403140.92,0.223147000223646
2008,"10~14세","외래",14,96861,166806,189086,5628580.95,3636129.002,1992451.948,0.353988325956296
2008,"10~14세","입원",14,2623,17364,37638,2829042.07,2201335.61,627706.46,0.221879507079935
2008,"10~14세","외래",15,25,49,61,1626.81,901.975,724.835,0.445556026825505
2008,"10~14세","입원",15,10,34,91,7437.23,6786.46,650.77,0.0875016639259509
