"연도","총 인구수","0~4세","5~9세","10~14세","15~19세","20~24세","25~29세","30~34세","35~39세","40~44세","45~49세","50~54세","55~59세","60~64세","65~69세","70~74세","75~79세","80~84세","85~89세","90~94세","95~99세","100세 이상"
2008,49540367,2290058,2806805,3422124,3402798,3164135,4061503,3904767,4565527,4288602,4383246,3625190,2515383,2040956,1923840,1440577,892465,489692,236472,69124,14768,2335
2009,49773145,2263425,2659544,3326018,3485632,3134026,3894236,3872630,4498903,4374778,4354717,3852573,2655504,2133451,1914041,1518328,959109,533874,249131,74664,15962,2599
2010,50515666,2299695,2457829,3262445,3564430,3135901,3731055,3950726,4419823,4500157,4344195,4110228,2956595,2276235,1915094,1569480,1049045,580579,271189,87444,22391,11130
2011,50734284,2328435,2347414,3134531,3546594,3212315,3515101,4024454,4230332,4617122,4229561,4313633,3214513,2319307,1897565,1640831,1130345,618481,283425,95014,23677,11634
2012,50948272,2321293,2347418,2955976,3491303,3319540,3307408,4062598,4106345,4639747,4196411,4405468,3386102,2428603,1899933,1774343,1196000,663632,301459,106586,25450,12657
2013,51141463,2301320,2322614,2809185,3420530,3405202,3184327,4086122,3929292,4599684,4320277,4404070,3621186,2486668,1985888,1803037,1269763,708188,323430,120230,26657,13793
2014,51327916,2294304,2297070,2663025,3325879,3488497,3153547,3917451,3894396,4528033,4402183,4370591,3845570,2626763,2079345,1800922,1345682,766736,357407,126692,28817,15006
2015,51529338,2266781,2334907,2459825,3257264,3557583,3141465,3731387,3939579,4396186,4462807,4289141,4035650,2881662,2191617,1789894,1386543,838507,386703,134214,31414,16209
2016,51696216,2204271,2361897,2349979,3131059,3541061,3217367,3517868,4016272,4212243,4584810,4182392,4242269,3139076,2237345,1781229,1457890,909130,416164,141488,34844,17562
2017,51778544,2079115,2356083,2350767,2953658,3486427,3324540,3311945,4056704,4091743,4611009,4153396,4336808,3310243,2347021,1793132,1585974,968146,451453,153236,39294,17850
2018,51826059,1974244,2328818,2325548,2805605,3414902,3409071,3189361,4080782,3916194,4572393,4277593,4338291,3542849,2406790,1880192,1617744,1032594,484398,165694,44213,18783
2019,51849861,1845122,2321792,2299958,2659052,3319645,3490711,3158230,3912794,3882192,4501038,4359591,4307786,3765035,2545616,1972502,1623542,1103019,530317,185868,45891,20160
2020,51829023,1677023,2293047,2337589,2455747,3249676,3556477,3145998,3727119,3926316,4368471,4418728,4226286,3950469,2794037,2080134,1618112,1143935,585487,203704,48756,21912
2021,51638809,1530469,2229881,2364196,2345120,3121322,3534601,3216061,3507374,3992831,4173961,4526822,4108389,4136749,3027963,2109712,1605372,1201825,633656,217247,47297,7961
2022,51439038,1427590,2105052,2357952,2345244,2941841,3475340,3317257,3298254,4026249,4046868,4542072,4069992,4218037,3185502,2208256,1617461,1303349,667244,229306,48439,7733
2023,51325329,1334588,1998304,2330969,2320491,2794440,3403046,3399252,3176296,4049259,3872875,4503660,4192039,4219699,3411009,2265989,1700214,1331277,713747,246429,53209,8537
